character,text,gender
LETO, Wormsign?,male
LETO, Is that a worm?,male
LETO, How many men on that crawler?,male
LETO, Our ships can take six each.,male
LETO, We’ll find a way.,male
LETO," Yes! Gurney, have our escorts throw out their shield generators.",male
LETO, Paul stay behind and help the workers to get in!,male
LETO, Where are they? Delta Ajax niner! Put seven men each in my ships!,male
LETO, Damn the spice! I want every man off that crawler. Now!,male
LETO, You cannot take such risks. You have responsibilities.,male
LETO, Go!,male
LETO, You know what’ll happen if I fail to get spice production back on track. The Harkonnens will return.,male
LETO, I think you’re afraid it might be true.,male
LETO," If I tell you one day you’ll find yourself on a mountaintop -- what does that change? You still have to climb the mountain. Destiny grants us nothing -- and takes nothing away. We have to fight and bleed for the future we want. Because when all’s said and done, there’s only one way to find out if a prophecy is true. We earn it.",male
LETO, Not like that.,male
LETO, Security. Security. Hawat.,male
LETO, Why...?,male
LETO," Here I am, here I remain.",male
GURNEY, I am smiling.,male
GURNEY, You think we’ve won something?,male
GURNEY, So it is. The other Great Houses trust and admire us. And the Emperor is a jealous man. So. Maybe he’s giving Arrakis to us. Or maybe he’s giving us to Arrakis.,male
GURNEY, He knows. He -- He’s right here.,male
GURNEY, Don’t stand with your back to the door. How many times do we need to tell you?,male
GURNEY," With Duncan Idaho gone, I must make do as best I may.",male
GURNEY, Never let a man inside your guard! Even in sport! Not even me!,male
GURNEY," Mood?! What has mood to do with it? You fight when the necessity arises, no matter your mood! Now fight!",male
GURNEY," Aye. But look down, m’lord.",male
GURNEY," Bad is a child’s word. You don’t get it, do you? You don’t really understand the grave nature of what’s happening to us.",male
GURNEY," “My lungs taste the air of Time, Blown past falling sand...”",male
GURNEY, Atreides!,male
GURNEY, Yeah. That’s what worries me too.,male
GURNEY," “To shower, you scrub your ass with sand,” my Lord. That’s what they say.",male
GURNEY, Spice workers.,male
GURNEY, Paul Atreides! Late to his first strategy meeting! Sorry to drag you out of bed.,male
GURNEY, “For they shall suck of the abundance of the seas and the treasure hid in the sand.”,male
GURNEY, Who did the Emperor appoint?,male
GURNEY, A hostage. I love it.,male
GURNEY, You will address the Duke as “Sire” or “My Lord...”,male
GURNEY, I don’t like him.,male
GURNEY, What the hell’s a sand compactor?,male
GURNEY," My God, man, you’ve gone native.",male
GURNEY," The Judge of the Change, Sire. Dr. Liet Kynes.",male
GURNEY, Dust cloud!,male
GURNEY, A worm always comes?,male
GURNEY, They seem pretty calm about it.,male
GURNEY, What happens now?,male
GURNEY, Yes Sire!,male
GURNEY, Paul!,male
GURNEY," We have to run, Paul! Now!",male
GURNEY," I remember salt smoke from a beach fire, The seagulls crying on the strand...",male
GURNEY, God in Heaven. Get everything with guns off the ground!,male
GURNEY, WITH ME! WITH ME!,male
HAWAT," Three Guild Navigators, fifty-two parsecs...figure a hundred and forty decagrams of spice...a total of one-point-four-six million solaris, round-trip.",male
HAWAT, Young master! How does it feel to walk on another world?,male
HAWAT," My Lord, my advance team has secured the city. We’re still smoothing out a few rough spots.",male
HAWAT, Don’t be fooled by the welcome. They follow their old masters’ rules. Mandatory attendance. That’s Harkonnen love out there.,male
HAWAT, Let’s get you out of the sun. The heat can kill in this place.,male
HAWAT," Candidates for housekeeper, my Lady.",male
HAWAT, I secured a copy of the Harkonnens’ account books.,male
HAWAT, We won’t see profits like that for a while. Not with the equipment they left us.,male
HAWAT, These are spice silos. We must fill every crate.,male
HAWAT, Every twenty-five standard days.,male
HAWAT," Dr. Liet Kynes. Imperial Ecologist. Been here twenty years. Eccentric, from what I’m told.",male
HAWAT, I wouldn’t recommend that my Lord.,male
HAWAT," He’s here, my Lord!",male
HAWAT, The Harkonnen estimate was fifty thousand on the whole planet!,male
HAWAT, Our plan bears fruit...,male
HAWAT," Yes, it will take time.",male
LETO, We are House Atreides. There is no call we do not answer. There is no faith that we betray. The Emperor asks us to lead. House Atreides... ACCEPTS.,male
LETO, That damned bull.,male
LETO, I wish we could bring them all with us.,male
LETO," You know why. You’re the future of House Atreides, Paul.",male
LETO," I understand your impatience. When we get to Arrakis, I want you to have a seat on my council. It’s time to teach you how we lead.",male
LETO, I wanted to be a pilot.,male
LETO, I found my own way to it. You might find yours.,male
LETO," In their memory, give it a try.",male
LETO," Duncan, you’re a fine fighting man. But you look like a barbarian. Tonight, that beard comes off.",male
LETO, Stilgar. Welcome. I respect the personal dignity of any man who respects mine.,male
LETO, I’m glad you’ve come. I think your people and mine have much to offer one another.,male
LETO, This is Duke Leto Atreides. We are coming down to take off Delta Ajax niner’s crew. We’ll put down on the west.,male
LETO," Everything they left is in shambles. It’s plain to see. We’ve been set up to fail. When you report to the Emperor, you must say the rules weren’t followed.",male
LETO," That’s what they call you, isn’t it? Voice From the Outer World.",male
LETO, It troubles you.,male
DUNCAN, Stabilizers still too lose.,male
DUNCAN, Dial faster.,male
DUNCAN, You put on muscle!,male
DUNCAN, No. Try eating something.,male
DUNCAN, Yeah.,male
DUNCAN, You do? Oh. Too bad. Because no.,male
DUNCAN, You trying to get me court- martialed? What’s going on?,male
DUNCAN, Always. You know that.,male
DUNCAN, Now we’re talking...,male
DUNCAN," Okay, so... you dreamed about stuff we all know about.",male
DUNCAN, Well... that’s a hell of coincidence.,male
DUNCAN, So I will find them! There’s a good omen! Right?,male
DUNCAN, Whew! Okay! Not gonna die! I shave for no man!,male
DUNCAN, That’s why you want to come with me! Listen. Dreams make good stories. But everything important happens while we’re awake. Because that’s when we make things happen.,male
DUNCAN, Gurney Halleck. You look grouchy. To Arrakis!,male
DUNCAN, Hey. We did. Our star is rising!,male
DUNCAN, Did you tell the Duke?,male
DUNCAN, PAUL!,male
DUNCAN, I hope the girl part’s true!,male
PAUL," I saw the spice sands in the deep desert. The Fremen, fighting for their lands.",male
PAUL, I watched them leave Arrakis.,male
PAUL," I recognize your footsteps, old man.",male
PAUL, My father is dead. Why can’t I cry?,male
PAUL, 8000 meters. We’re still climbing.,male
PAUL, I’ll need to time the top of the vortex. I can see it. It will be there... In few seconds... I can see it,male
CHANI, Paul...,female
CHANI, Paul...,female
CHANI, Some of my people thought a savior might never come.,female
CHANI, Bless your coming and going.,female
CHANI, May your passage cleanse the world.,female
CHANI, Will you keep it for your people?,female
GURNEY, Choose your blade.,male
GURNEY, Come on!,male
GURNEY, You’d have joined me in death.,male
GURNEY, I see you found the mood.,male
GURNEY," For eighty years Arrakis belonged to House Harkonnen! Eighty years! Owning the spice fields! Can you imagine the wealth? Now they are losing Arrakis... to us. You need to be ready. -- Your eyes. I need to see it in your eyes! You never met Harkonnens before. I have. They're not human. In the slave pits of Geidi Prime, Rabban Harkonnen himself killed my family and he gave me this scar to remember him by.",male
GURNEY, And I will never forget.,male
GURNEY, I say it’s good for the spirit.,male
GURNEY, Go go go!,male
BARON HARKONNEN, Rabban.,male
BARON HARKONNEN, Very good.,male
BARON HARKONNEN, When a gift is not a gift?,male
BARON HARKONNEN, What is the Emperor’s message?,male
BARON HARKONNEN, With his Sardaukar army.,male
BARON HARKONNEN, House Harkonnen would never dream of violating the sanctity of your Order. You have my word. We will not harm them.,male
BARON HARKONNEN, No Atreides will live.,male
BARON HARKONNEN, I said I would not harm them. So I shall not. But Arrakis is Arrakis. The desert takes the weak.,male
BARON HARKONNEN," You have a good kitchen, cousin.",male
BARON HARKONNEN, The Traitor! What do you want?,male
BARON HARKONNEN, The bargain to the letter! And what was I to do for you?,male
BARON HARKONNEN, Ah. Yes.,male
BARON HARKONNEN, What did you say?,male
BARON HARKONNEN, So?,male
BARON HARKONNEN, So it’s done. At last.,male
BARON HARKONNEN, The Fremen? Kill them all.,male
BARON HARKONNEN," To break a virtuous man, give him a burden too heavy to bear. A lesser man would drop it: but a good man will carry it ‘til it crushes him.",male
BARON HARKONNEN, My desert. My Arrakis. My Dune.,male
BARON HARKONNEN, I said that I would set her free. That you could join her.,male
BARON HARKONNEN, So join her.,male
BARON HARKONNEN, What’s next?,male
BARON HARKONNEN, For centuries we traded blood for blood. But no more. Your son is dead. Your concubine is dead. Tonight House Atreides falls. Your bloodline ends forever.,male
BARON HARKONNEN," Send word to Giedi Prime to begin selling our spice reserves. Slowly! We don’t want the price to fall. You cannot imagine what it cost me to bring such force to bear here. I want you squeeze, Rabban. Squeeze hard.",male
JESSICA, Paul. Wake up.,female
REVEREND MOTHER MOHIAM, Defiance in the eyes. Like his father. Leave us.,male
REVEREND MOTHER MOHIAM, COME HERE.,male
REVEREND MOTHER MOHIAM, Put your right hand in the box.,male
REVEREND MOTHER MOHIAM, Pain.,male
REVEREND MOTHER MOHIAM, An animal caught in a trap will gnaw off its own leg to escape. What will you do?,male
REVEREND MOTHER MOHIAM, Silence!,male
REVEREND MOTHER MOHIAM, Enough!,male
REVEREND MOTHER MOHIAM, No woman-child ever withstood so much. I must’ve wanted you to fail.,male
REVEREND MOTHER MOHIAM," Because you are Jessica’s son. You have more than one birthright, boy. You’ve proven you can rule yourself. Now you must learn to rule others. It’s something none of your ancestors learned.",male
REVEREND MOTHER MOHIAM, He’s losing it.,male
REVEREND MOTHER MOHIAM, We’ll see.,male
REVEREND MOTHER MOHIAM, Tell me about these dreams.,male
REVEREND MOTHER MOHIAM, What did you see?,male
REVEREND MOTHER MOHIAM, Have you dreamt of her before?,male
REVEREND MOTHER MOHIAM, Do you dream things that happen just as you dreamed them?,male
REVEREND MOTHER MOHIAM," Goodbye, young human. I hope you live.",male
REVEREND MOTHER MOHIAM," You chose to train him in the Way, in defiance of our rule. He wields our power: he had to be tested. So much potential, wasted in a male. You were told to bear only daughters! But you in your pride thought you could bring forth the Kwisatz Haderach.",male
REVEREND MOTHER MOHIAM," You’re lucky he didn’t die in that room. If he is the One, he has a long way to go. His Sight is barely awakened. And now he goes into the fire. But our plans are measured in centuries: we have other prospects, if he fails his promise.",male
REVEREND MOTHER MOHIAM," On Arrakis, we have done all we can for you. A path has been laid. Let’s hope he doesn’t squander it.",male
REVEREND MOTHER MOHIAM, Activate the cone of silence.,male
REVEREND MOTHER MOHIAM, He will strengthen your hand.,male
REVEREND MOTHER MOHIAM," It must never be known. As far as the Great Houses are concerned -- what you do, you do alone.",male
REVEREND MOTHER MOHIAM, KNEEL.,male
REVEREND MOTHER MOHIAM, Your mother bade you obey me.,male
REVEREND MOTHER MOHIAM, STOP.,male
