character,text,gender
BLAKE, Commissioner Gordon’s been shot.,male
BLAKE, He chased a gunman down into the sewers. When I pulled him out he was babbling about an underground army. A masked man called ’Bane’.,male
BLAKE, I did. One of them asked if he saw any giant alligators down there. He needs you. He needs the Batman.,male
BLAKE," He doesn’t know or care who you are. (Off look.) But we’ve met before. When I was a kid. At the orphanage. See, my mom died when I was small. Car accident, I don’t really remember it. But a couple of years later my dad was shot over a gambling debt. I remember that just fine. (Looks at Wayne.) Not a lot of people who what it feels like, do they? To be angry. In your bones. People understand, foster parents understand. For a while. Then they expect the angry kid to do what he knows he can never do. To move on. To forget.",male
BLAKE," So they stopped understanding and sent the angry kid to a boys’ home - St. Swithin’s. Used to be funded by the Wayne Foundation. See, I figured it out too late. You have to hide the anger. Practice smiling in the mirror. Like putting on a mask. You showed up one day in a cool car, pretty girl on your arm.",male
BLAKE," I don’t know why you took the fall for Dent’s murder, but I’m still a believer in the Batman. Even if you’re not.",male
BLAKE, Because the money stopped. Might be time to get some fresh air and start paying attention to the details. Some of those details might need your help.,male
BLAKE," Move it, now! We’ve got a situation.",male
BLAKE, That way!,male
BLAKE, Get in your vehicle and stay there!,male
BLAKE, What’s that?,male
BLAKE," Sir, what about the armed robbers?",male
BLAKE, But he’s getting away!,male
BLAKE, Are you sure that was him?,male
BLAKE, When you began...why the mask?,male
BLAKE, You’re a loner with no family.,male
BLAKE, It was damn good to see him back.,male
BLAKE, They’ll figure it out in the end.,male
BLAKE," Yeah, I’ve got five hundred pages of tunnel records and a flashlight. I could use some help.",male
BLAKE, You got money?,male
BLAKE, John Daggett’s body was found in a dumpster an hour ago. I thought you might like to know.,male
BLAKE, Because Daggett’s name is all over the permits I pulled to map the tunnels under Gotham.,male
BLAKE," MTA maintenance, sewer construction...",male
BLAKE, This could just be a coincidence.,male
BLAKE, Get Commissioner Gordon. Tell him I’ve got a line on the Congressman’s kidnapping.,male
BLAKE, I showed your picture to the Congressman and guess what?,male
BLAKE," Head over heels. Pressing charges, though. You’ve made some mistakes, Ms. Kyle.",male
BLAKE, You have an appetite. Why run? You can’t hide from us with this record.,male
BLAKE, Who then? Bane? What do you know about him?,male
BLAKE, We can offer you protection...,male
BLAKE," When I spotted you, I was looking for a friend...Bruce Wayne.",male
BLAKE, Did the kill him?,male
BLAKE, This time...he might not be coming back.,male
BLAKE, So it’s a training exercise.,male
BLAKE," I’ve been to half Daggett’s cement plants, logged locations they’ve poured for underground construction...",male
BLAKE," Honestly, Commissioner, I don’t know anything about civil engineering.",male
BLAKE, Hey.,male
BLAKE," That was you outside the stock exchange, right?",male
BLAKE, When? When half the city’s cops were trying to pull onto Castle Street and your truck shut them out.,male
BLAKE," Detective, now.",male
BLAKE, And as a detective...I’m not allowed to believe in coincidences anymore -,male
BLAKE, What were you doing?! What?!,male
BLAKE," Commissioner, I’m at the Fourteenth Street plant with two dead witnesses and a lot of questions. Call me - Commissioner, they’ve got Polyisobutylene here... (Looks around.) And motor oil. They weren’t making cement, they were making explosives -",male
BLAKE," Oh, God.",male
BLAKE, Patch me into Foley!,male
BLAKE, They’re heading into a trap!,male
BLAKE, It’s a trap! Pull everyone out! Bane’s been pouring concrete laced with explosives -,male
BLAKE, There’s a ring around the tunnels - they’re gonna blow it and trap the cops underground!,male
BLAKE, Foley?,male
BLAKE, Not every cop...,male
BLAKE, What does that mean?,male
BLAKE," Sir, they’ll kill you the second you show your face -",male
BLAKE, Bane’s not gonna let that happen -,male
BLAKE, And you’ll be dead.,male
BLAKE," We’re gonna keep moving you, till we can get you in front of a camera -",male
BLAKE," These men, locked up in Blackgate for eight years, denied parole under the Dent Act. Based on a lie.",male
BLAKE, Not as much as it does now. But you betrayed everything you stood for.,male
BLAKE," Your hands look pretty filthy to me, Commissioner.",male
BLAKE, For the bus in case there’s a chance to evacuate. Keep it in here - people are siphoning parked cars.,male
BLAKE, How do you think I got it?,male
BLAKE," Less you know, Father. How’re the boys?",male
